"Product Name","Assumed Rating","Actual Rating","Check"
"SheaMoisture Curl Mousse for Frizz Control Coconut and Hibiscus with Shea Butter 7.5 oz","4","4.3","true"
"SheaMoisture Conditioner 100% Pure Jamaican Black Castor Oil to Intensely Smooth and Nourish Hair with Shea Butter, Peppermint and Apple Cider Vinegar 13 oz","4","4.6","true"
"SheaMoisture Intensive Hydration Conditioner for Dry, Damaged Hair Manuka Honey and Mafura Oil deep moisturizing conditioner 24oz","4","4.5","true"
"200Pcs 3mm & 5mm Led Light Emitting Diodes Assortment Kit, Mini/Tiny/Small Individual Led Single Light, Clear/White Red Green Blue Yellow Assorted Led Diode Bulbs Set for Arduino, Breadboard, etc","4","4.8","true"
"Ltvystore 20Pack 10MM 12V White LED Pre Wired Prewired 7.87 Inch Lamp Light Bulb Prewired Emitting Diode& 20Pack Black 10MM LED Plastic Clip Holder Display Panel (White)","4","4.7","true"
"Ltvystore 3MM 12V Pink LED Pre Wired Prewired 7.87 Inch Lamp Light Bulb Prewired Emitting Diode & Black 3MM LED Plastic Clip Holder Display Panel","4","4.7","true"
"Amazon Brand – Stone & Beam Modern Hardwood Rocking Chair, 24.5""W, Light Gray","4","4.5","true"
"Flash Furniture Elon Series White Plastic Chair with Wooden Legs","4","4.6","true"
"Winsome Wood Benjamin Seating, Natural","4","4.4","true"
"KROSER Rolling Laptop Bag Premium Wheeled Briefcase Fits Up to 17.3 Inch Laptop Water-Proof Overnight Roller Case Computer Bag with RFID Pockets for Travel/Business/School/Men/Women-Black","4","4.6","true"
"DOMISO 15.6 Inch Shockproof Waterproof Laptop Sleeve with Handle Lightweight Soft EVA Tablet Case for 15.6"" Laptops / Apple / Lenovo IdeaPad / Acer Aspire E15 / HP Envy 15 / Dell , Black","4","4.4","true"
"KROSER Laptop Bag 17.3 Inch Premium Laptop Briefcase, Expandable Laptop Shoulder Messenger Bag Durable Computer Case","4","4.6","true"
"Xcello Sports JR Football Assortment w/Pump (Pack of 2)","4","3.8","false"
"WILSON NFL Super Grip Composite Football","4","4.8","true"
"Franklin Sports Junior Football - Grip-Rite 100","4","4.7","true"
